data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2021-10-20,88,088001,Ragusa,Acate,18.27,2
2021-10-20,87,087001,Catania,Aci Bonaccorsi,0.00,0
2021-10-20,87,087002,Catania,Aci Castello,56.76,10
2021-10-20,87,087003,Catania,Aci Catena,101.38,28
2021-10-20,87,087005,Catania,Aci Sant'Antonio,111.84,20
2021-10-20,87,087004,Catania,Acireale,59.12,30
2021-10-20,85,085001,Caltanissetta,Acquaviva Platani,0.00,0
2021-10-20,83,083107,Messina,Acquedolci,18.20,1
2021-10-20,87,087006,Catania,Adrano,29.60,10
2021-10-20,86,086001,Enna,Agira,38.47,3
2021-10-20,84,084001,Agrigento,Agrigento,12.49,7
2021-10-20,86,086002,Enna,Aidone,0.00,0
2021-10-20,81,081001,Trapani,Alcamo,11.15,5
2021-10-20,83,083001,Messina,Alcara li Fusi,0.00,0
2021-10-20,84,084002,Agrigento,Alessandria della Rocca,0.00,0
2021-10-20,83,083002,Messina,Alì,0.00,0
2021-10-20,83,083003,Messina,Alì Terme,0.00,0
2021-10-20,82,082001,Palermo,Alia,0.00,0
2021-10-20,82,082002,Palermo,Alimena,0.00,0
2021-10-20,82,082003,Palermo,Aliminusa,0.00,0
2021-10-20,82,082004,Palermo,Altavilla Milicia,0.00,0
2021-10-20,82,082005,Palermo,Altofonte,0.00,0
2021-10-20,83,083004,Messina,Antillo,0.00,0
2021-10-20,84,084003,Agrigento,Aragona,11.10,1
2021-10-20,86,086003,Enna,Assoro,0.00,0
2021-10-20,89,089001,Siracusa,Augusta,40.59,14
2021-10-20,89,089002,Siracusa,Avola,22.96,7
2021-10-20,82,082006,Palermo,Bagheria,7.53,4
2021-10-20,82,082007,Palermo,Balestrate,0.00,0
2021-10-20,83,083005,Messina,Barcellona Pozzo di Gotto,57.12,23
2021-10-20,86,086004,Enna,Barrafranca,8.37,1
2021-10-20,83,083006,Messina,Basicò,0.00,0
2021-10-20,82,082008,Palermo,Baucina,0.00,0
2021-10-20,82,082009,Palermo,Belmonte Mezzagno,253.32,28
2021-10-20,87,087007,Catania,Belpasso,54.55,15
2021-10-20,87,087008,Catania,Biancavilla,21.80,5
2021-10-20,82,082010,Palermo,Bisacquino,0.00,0
2021-10-20,84,084004,Agrigento,Bivona,0.00,0
2021-10-20,82,082082,Palermo,Blufi,0.00,0
2021-10-20,82,082011,Palermo,Bolognetta,0.00,0
2021-10-20,85,085002,Caltanissetta,Bompensiere,0.00,0
2021-10-20,82,082012,Palermo,Bompietro,78.99,1
2021-10-20,82,082013,Palermo,Borgetto,0.00,0
2021-10-20,83,083007,Messina,Brolo,0.00,0
2021-10-20,87,087009,Catania,Bronte,16.28,3
2021-10-20,89,089003,Siracusa,Buccheri,0.00,0
2021-10-20,84,084005,Agrigento,Burgio,77.76,2
2021-10-20,89,089004,Siracusa,Buscemi,0.00,0
2021-10-20,81,081002,Trapani,Buseto Palizzolo,0.00,0
2021-10-20,85,085003,Caltanissetta,Butera,0.00,0
2021-10-20,82,082014,Palermo,Caccamo,25.20,2
2021-10-20,84,084006,Agrigento,Calamonaci,0.00,0
2021-10-20,86,086005,Enna,Calascibetta,0.00,0
2021-10-20,87,087010,Catania,Calatabiano,0.00,0
2021-10-20,81,081003,Trapani,Calatafimi-Segesta,0.00,0
2021-10-20,84,084007,Agrigento,Caltabellotta,0.00,0
2021-10-20,87,087011,Catania,Caltagirone,11.19,4
2021-10-20,85,085004,Caltanissetta,Caltanissetta,10.10,6
2021-10-20,82,082015,Palermo,Caltavuturo,0.00,0
2021-10-20,84,084008,Agrigento,Camastra,0.00,0
2021-10-20,84,084009,Agrigento,Cammarata,0.00,0
2021-10-20,84,084010,Agrigento,Campobello di Licata,0.00,0
2021-10-20,81,081004,Trapani,Campobello di Mazara,8.72,1
2021-10-20,82,082016,Palermo,Campofelice di Fitalia,0.00,0
2021-10-20,82,082017,Palermo,Campofelice di Roccella,0.00,0
2021-10-20,82,082018,Palermo,Campofiorito,0.00,0
2021-10-20,85,085005,Caltanissetta,Campofranco,0.00,0
2021-10-20,82,082019,Palermo,Camporeale,32.89,1
2021-10-20,87,087012,Catania,Camporotondo Etneo,39.18,2
2021-10-20,84,084011,Agrigento,Canicattì,40.01,14
2021-10-20,89,089005,Siracusa,Canicattini Bagni,45.16,3
2021-10-20,82,082020,Palermo,Capaci,34.57,4
2021-10-20,83,083008,Messina,Capizzi,0.00,0
2021-10-20,83,083009,Messina,Capo d'Orlando,15.20,2
2021-10-20,83,083010,Messina,Capri Leone,0.00,0
2021-10-20,82,082021,Palermo,Carini,7.73,3
2021-10-20,89,089006,Siracusa,Carlentini,29.65,5
2021-10-20,83,083011,Messina,Caronia,0.00,0
2021-10-20,83,083012,Messina,Casalvecchio Siculo,0.00,0
2021-10-20,89,089007,Siracusa,Cassaro,0.00,0
2021-10-20,87,087013,Catania,Castel di Iudica,68.60,3
2021-10-20,83,083013,Messina,Castel di Lucio,0.00,0
2021-10-20,82,082022,Palermo,Castelbuono,0.00,0
2021-10-20,82,082023,Palermo,Casteldaccia,25.99,3
2021-10-20,83,083014,Messina,Castell'Umberto,0.00,0
2021-10-20,81,081005,Trapani,Castellammare del Golfo,61.46,9
2021-10-20,82,082024,Palermo,Castellana Sicula,0.00,0
2021-10-20,83,083015,Messina,Castelmola,91.83,1
2021-10-20,84,084012,Agrigento,Casteltermini,0.00,0
2021-10-20,81,081006,Trapani,Castelvetrano,0.00,0
2021-10-20,87,087014,Catania,Castiglione di Sicilia,33.26,1
2021-10-20,84,084013,Agrigento,Castrofilippo,0.00,0
2021-10-20,82,082025,Palermo,Castronovo di Sicilia,0.00,0
2021-10-20,83,083016,Messina,Castroreale,0.00,0
2021-10-20,87,087015,Catania,Catania,97.18,286
2021-10-20,86,086006,Enna,Catenanuova,87.37,4
2021-10-20,84,084014,Agrigento,Cattolica Eraclea,117.75,4
2021-10-20,82,082026,Palermo,Cefalà Diana,0.00,0
2021-10-20,82,082027,Palermo,Cefalù,14.29,2
2021-10-20,86,086007,Enna,Centuripe,0.00,0
2021-10-20,86,086008,Enna,Cerami,0.00,0
2021-10-20,82,082028,Palermo,Cerda,0.00,0
2021-10-20,83,083017,Messina,Cesarò,46.15,1
2021-10-20,88,088002,Ragusa,Chiaramonte Gulfi,75.39,6
2021-10-20,82,082029,Palermo,Chiusa Sclafani,0.00,0
2021-10-20,84,084015,Agrigento,Cianciana,0.00,0
2021-10-20,82,082030,Palermo,Ciminna,0.00,0
2021-10-20,82,082031,Palermo,Cinisi,8.41,1
2021-10-20,82,082032,Palermo,Collesano,0.00,0
2021-10-20,88,088003,Ragusa,Comiso,26.49,8
2021-10-20,84,084016,Agrigento,Comitini,0.00,0
2021-10-20,83,083018,Messina,Condrò,0.00,0
2021-10-20,82,082033,Palermo,Contessa Entellina,0.00,0
2021-10-20,82,082034,Palermo,Corleone,0.00,0
2021-10-20,81,081007,Trapani,Custonaci,18.67,1
2021-10-20,85,085006,Caltanissetta,Delia,0.00,0
2021-10-20,86,086009,Enna,Enna,69.15,18
2021-10-20,81,081008,Trapani,Erice,18.96,5
