data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-06-15,84,084001,Agrigento,Agrigento,433.17,241
2022-06-15,84,084002,Agrigento,Alessandria della Rocca,120.00,3
2022-06-15,84,084003,Agrigento,Aragona,297.38,26
2022-06-15,84,084004,Agrigento,Bivona,154.99,5
2022-06-15,84,084005,Agrigento,Burgio,119.81,3
2022-06-15,84,084006,Agrigento,Calamonaci,170.50,2
2022-06-15,84,084007,Agrigento,Caltabellotta,62.09,2
2022-06-15,84,084008,Agrigento,Camastra,104.44,2
2022-06-15,84,084009,Agrigento,Cammarata,238.66,14
2022-06-15,84,084010,Agrigento,Campobello di Licata,131.97,12
2022-06-15,84,084011,Agrigento,Canicattì,221.29,76
2022-06-15,84,084012,Agrigento,Casteltermini,149.74,11
2022-06-15,84,084013,Agrigento,Castrofilippo,115.52,3
2022-06-15,84,084014,Agrigento,Cattolica Eraclea,30.24,1
2022-06-15,84,084015,Agrigento,Cianciana,96.81,3
2022-06-15,84,084016,Agrigento,Comitini,112.74,1
2022-06-15,84,084017,Agrigento,Favara,433.53,137
2022-06-15,84,084018,Agrigento,Grotte,95.73,5
2022-06-15,84,084019,Agrigento,Joppolo Giancaxio,0.00,0
2022-06-15,84,084020,Agrigento,Lampedusa e Linosa,125.79,8
2022-06-15,84,084021,Agrigento,Licata,128.13,44
2022-06-15,84,084022,Agrigento,Lucca Sicula,173.51,3
2022-06-15,84,084023,Agrigento,Menfi,161.74,19
2022-06-15,84,084024,Agrigento,Montallegro,211.06,5
2022-06-15,84,084025,Agrigento,Montevago,368.60,10
2022-06-15,84,084026,Agrigento,Naro,143.33,10
2022-06-15,84,084027,Agrigento,Palma di Montechiaro,122.35,26
2022-06-15,84,084028,Agrigento,Porto Empedocle,393.90,61
2022-06-15,84,084029,Agrigento,Racalmuto,79.87,6
2022-06-15,84,084030,Agrigento,Raffadali,271.83,33
2022-06-15,84,084031,Agrigento,Ravanusa,47.83,5
2022-06-15,84,084032,Agrigento,Realmonte,297.41,13
2022-06-15,84,084033,Agrigento,Ribera,123.10,22
2022-06-15,84,084034,Agrigento,Sambuca di Sicilia,167.13,9
2022-06-15,84,084035,Agrigento,San Biagio Platani,173.73,5
2022-06-15,84,084036,Agrigento,San Giovanni Gemini,159.32,12
2022-06-15,84,084039,Agrigento,Sant'Angelo Muxaro,259.52,3
2022-06-15,84,084037,Agrigento,Santa Elisabetta,701.92,15
2022-06-15,84,084038,Agrigento,Santa Margherita di Belice,199.87,12
2022-06-15,84,084040,Agrigento,Santo Stefano Quisquina,459.16,19
2022-06-15,84,084041,Agrigento,Sciacca,393.71,154
2022-06-15,84,084042,Agrigento,Siculiana,318.78,13
2022-06-15,84,084043,Agrigento,Villafranca Sicula,0.00,0
2022-06-15,85,085001,Caltanissetta,Acquaviva Platani,347.22,3
2022-06-15,85,085002,Caltanissetta,Bompensiere,0.00,0
2022-06-15,85,085003,Caltanissetta,Butera,96.08,4
2022-06-15,85,085004,Caltanissetta,Caltanissetta,374.18,221
2022-06-15,85,085005,Caltanissetta,Campofranco,701.62,19
2022-06-15,85,085006,Caltanissetta,Delia,76.57,3
2022-06-15,85,085007,Caltanissetta,Gela,437.89,314
2022-06-15,85,085008,Caltanissetta,Marianopoli,122.55,2
2022-06-15,85,085009,Caltanissetta,Mazzarino,135.83,15
2022-06-15,85,085010,Caltanissetta,Milena,810.61,22
2022-06-15,85,085011,Caltanissetta,Montedoro,71.79,1
2022-06-15,85,085012,Caltanissetta,Mussomeli,190.59,19
2022-06-15,85,085013,Caltanissetta,Niscemi,207.11,52
2022-06-15,85,085014,Caltanissetta,Resuttano,113.64,2
2022-06-15,85,085015,Caltanissetta,Riesi,113.94,12
2022-06-15,85,085016,Caltanissetta,San Cataldo,276.22,58
2022-06-15,85,085017,Caltanissetta,Santa Caterina Villarmosa,358.73,17
2022-06-15,85,085018,Caltanissetta,Serradifalco,342.10,19
2022-06-15,85,085019,Caltanissetta,Sommatino,109.63,7
2022-06-15,85,085020,Caltanissetta,Sutera,335.57,4
2022-06-15,85,085021,Caltanissetta,Vallelunga Pratameno,380.35,12
2022-06-15,85,085022,Caltanissetta,Villalba,138.70,2
2022-06-15,87,087001,Catania,Aci Bonaccorsi,830.95,29
2022-06-15,87,087002,Catania,Aci Castello,396.87,71
2022-06-15,87,087003,Catania,Aci Catena,522.92,146
2022-06-15,87,087005,Catania,Aci Sant'Antonio,548.59,98
2022-06-15,87,087004,Catania,Acireale,519.67,262
2022-06-15,87,087006,Catania,Adrano,263.74,89
2022-06-15,87,087007,Catania,Belpasso,376.74,104
2022-06-15,87,087008,Catania,Biancavilla,363.16,83
2022-06-15,87,087009,Catania,Bronte,767.96,140
2022-06-15,87,087010,Catania,Calatabiano,585.25,30
2022-06-15,87,087011,Catania,Caltagirone,326.00,117
2022-06-15,87,087012,Catania,Camporotondo Etneo,560.71,29
2022-06-15,87,087013,Catania,Castel di Iudica,208.72,9
2022-06-15,87,087014,Catania,Castiglione di Sicilia,68.70,2
2022-06-15,87,087015,Catania,Catania,424.04,1265
2022-06-15,87,087016,Catania,Fiumefreddo di Sicilia,454.90,41
2022-06-15,87,087017,Catania,Giarre,458.58,121
2022-06-15,87,087018,Catania,Grammichele,209.31,26
2022-06-15,87,087019,Catania,Gravina di Catania,508.75,127
2022-06-15,87,087020,Catania,Licodia Eubea,217.94,6
2022-06-15,87,087021,Catania,Linguaglossa,335.44,17
2022-06-15,87,087022,Catania,Maletto,505.19,18
2022-06-15,87,087057,Catania,Maniace,213.16,8
2022-06-15,87,087023,Catania,Mascali,339.29,48
2022-06-15,87,087024,Catania,Mascalucia,390.48,124
2022-06-15,87,087056,Catania,Mazzarrone,25.40,1
2022-06-15,87,087025,Catania,Militello in Val di Catania,74.32,5
2022-06-15,87,087026,Catania,Milo,96.53,1
2022-06-15,87,087027,Catania,Mineo,185.68,9
2022-06-15,87,087028,Catania,Mirabella Imbaccari,142.99,6
2022-06-15,87,087029,Catania,Misterbianco,473.52,231
2022-06-15,87,087030,Catania,Motta Sant'Anastasia,807.79,97
2022-06-15,87,087031,Catania,Nicolosi,262.74,20
2022-06-15,87,087032,Catania,Palagonia,115.02,18
2022-06-15,87,087033,Catania,Paternò,319.50,144
2022-06-15,87,087034,Catania,Pedara,384.95,57
2022-06-15,87,087035,Catania,Piedimonte Etneo,154.64,6
2022-06-15,87,087036,Catania,Raddusa,71.28,2
2022-06-15,87,087058,Catania,Ragalna,434.15,18
2022-06-15,87,087037,Catania,Ramacca,185.00,19
2022-06-15,87,087038,Catania,Randazzo,204.06,21
2022-06-15,87,087039,Catania,Riposto,604.23,84
2022-06-15,87,087040,Catania,San Cono,166.88,4
2022-06-15,87,087041,Catania,San Giovanni la Punta,426.29,100
2022-06-15,87,087042,Catania,San Gregorio di Catania,576.42,66
2022-06-15,87,087043,Catania,San Michele di Ganzaria,486.96,14
2022-06-15,87,087044,Catania,San Pietro Clarenza,316.03,26
2022-06-15,87,087045,Catania,Sant'Agata li Battiati,707.40,66
2022-06-15,87,087046,Catania,Sant'Alfio,332.45,5
2022-06-15,87,087047,Catania,Santa Maria di Licodia,379.10,28
2022-06-15,87,087048,Catania,Santa Venerina,516.76,43
2022-06-15,87,087049,Catania,Scordia,390.38,63
