data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-03-23,84,084001,Agrigento,Agrigento,1669.89,933
2022-03-23,84,084002,Agrigento,Alessandria della Rocca,1012.86,26
2022-03-23,84,084003,Agrigento,Aragona,1450.74,129
2022-03-23,84,084004,Agrigento,Bivona,333.54,11
2022-03-23,84,084005,Agrigento,Burgio,671.41,17
2022-03-23,84,084006,Agrigento,Calamonaci,415.63,5
2022-03-23,84,084007,Agrigento,Caltabellotta,392.75,13
2022-03-23,84,084008,Agrigento,Camastra,1308.90,25
2022-03-23,84,084009,Agrigento,Cammarata,1079.26,64
2022-03-23,84,084010,Agrigento,Campobello di Licata,1490.28,138
2022-03-23,84,084011,Agrigento,Canicattì,1718.63,592
2022-03-23,84,084012,Agrigento,Casteltermini,1217.72,91
2022-03-23,84,084013,Agrigento,Castrofilippo,2078.61,55
2022-03-23,84,084014,Agrigento,Cattolica Eraclea,1337.69,45
2022-03-23,84,084015,Agrigento,Cianciana,2203.34,70
2022-03-23,84,084016,Agrigento,Comitini,2705.75,24
2022-03-23,84,084017,Agrigento,Favara,2133.81,679
2022-03-23,84,084018,Agrigento,Grotte,1584.01,84
2022-03-23,84,084019,Agrigento,Joppolo Giancaxio,1179.67,13
2022-03-23,84,084020,Agrigento,Lampedusa e Linosa,568.09,36
2022-03-23,84,084021,Agrigento,Licata,966.23,335
2022-03-23,84,084022,Agrigento,Lucca Sicula,1329.48,23
2022-03-23,84,084023,Agrigento,Menfi,1346.09,159
2022-03-23,84,084024,Agrigento,Montallegro,1761.01,42
2022-03-23,84,084025,Agrigento,Montevago,914.41,25
2022-03-23,84,084026,Agrigento,Naro,1308.02,93
2022-03-23,84,084027,Agrigento,Palma di Montechiaro,1949.90,418
2022-03-23,84,084028,Agrigento,Porto Empedocle,2637.31,412
2022-03-23,84,084029,Agrigento,Racalmuto,1683.55,128
2022-03-23,84,084030,Agrigento,Raffadali,1623.16,199
2022-03-23,84,084031,Agrigento,Ravanusa,1163.23,123
2022-03-23,84,084032,Agrigento,Realmonte,1895.41,83
2022-03-23,84,084033,Agrigento,Ribera,598.07,108
2022-03-23,84,084034,Agrigento,Sambuca di Sicilia,546.95,30
2022-03-23,84,084035,Agrigento,San Biagio Platani,1255.94,37
2022-03-23,84,084036,Agrigento,San Giovanni Gemini,843.21,64
2022-03-23,84,084039,Agrigento,Sant'Angelo Muxaro,3040.54,36
2022-03-23,84,084037,Agrigento,Santa Elisabetta,2816.25,61
2022-03-23,84,084038,Agrigento,Santa Margherita di Belice,1097.64,67
2022-03-23,84,084040,Agrigento,Santo Stefano Quisquina,498.10,21
2022-03-23,84,084041,Agrigento,Sciacca,1212.74,476
2022-03-23,84,084042,Agrigento,Siculiana,2705.29,113
2022-03-23,84,084043,Agrigento,Villafranca Sicula,1178.20,16
2022-03-23,85,085001,Caltanissetta,Acquaviva Platani,561.17,5
2022-03-23,85,085002,Caltanissetta,Bompensiere,383.14,2
2022-03-23,85,085003,Caltanissetta,Butera,1464.34,62
2022-03-23,85,085004,Caltanissetta,Caltanissetta,1521.78,911
2022-03-23,85,085005,Caltanissetta,Campofranco,906.45,25
2022-03-23,85,085006,Caltanissetta,Delia,1566.45,62
2022-03-23,85,085007,Caltanissetta,Gela,1465.01,1062
2022-03-23,85,085008,Caltanissetta,Marianopoli,539.25,9
2022-03-23,85,085009,Caltanissetta,Mazzarino,268.31,30
2022-03-23,85,085010,Caltanissetta,Milena,792.22,22
2022-03-23,85,085011,Caltanissetta,Montedoro,1057.83,15
2022-03-23,85,085012,Caltanissetta,Mussomeli,854.96,86
2022-03-23,85,085013,Caltanissetta,Niscemi,559.97,141
2022-03-23,85,085014,Caltanissetta,Resuttano,1160.86,21
2022-03-23,85,085015,Caltanissetta,Riesi,523.51,56
2022-03-23,85,085016,Caltanissetta,San Cataldo,1138.56,242
2022-03-23,85,085017,Caltanissetta,Santa Caterina Villarmosa,1588.61,77
2022-03-23,85,085018,Caltanissetta,Serradifalco,827.61,47
2022-03-23,85,085019,Caltanissetta,Sommatino,2743.95,178
2022-03-23,85,085020,Caltanissetta,Sutera,1701.78,21
2022-03-23,85,085021,Caltanissetta,Vallelunga Pratameno,906.82,29
2022-03-23,85,085022,Caltanissetta,Villalba,540.54,8
2022-03-23,87,087001,Catania,Aci Bonaccorsi,515.02,18
