data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2021-10-06,81,081001,Trapani,Alcamo,35.67,16
2021-10-06,81,081002,Trapani,Buseto Palizzolo,0.00,0
2021-10-06,81,081003,Trapani,Calatafimi-Segesta,0.00,0
2021-10-06,81,081004,Trapani,Campobello di Mazara,87.18,10
2021-10-06,81,081005,Trapani,Castellammare del Golfo,116.09,17
2021-10-06,81,081006,Trapani,Castelvetrano,29.72,9
2021-10-06,81,081007,Trapani,Custonaci,18.67,1
2021-10-06,81,081008,Trapani,Erice,94.79,25
2021-10-06,81,081009,Trapani,Favignana,0.00,0
2021-10-06,81,081010,Trapani,Gibellina,0.00,0
2021-10-06,81,081011,Trapani,Marsala,32.35,26
2021-10-06,81,081012,Trapani,Mazara del Vallo,29.97,15
2021-10-06,81,081013,Trapani,Paceco,54.90,6
2021-10-06,81,081014,Trapani,Pantelleria,0.00,0
2021-10-06,81,081015,Trapani,Partanna,0.00,0
2021-10-06,81,081016,Trapani,Poggioreale,0.00,0
2021-10-06,81,081017,Trapani,Salaparuta,0.00,0
2021-10-06,81,081018,Trapani,Salemi,9.94,1
2021-10-06,81,081019,Trapani,Santa Ninfa,0.00,0
2021-10-06,81,081020,Trapani,San Vito Lo Capo,41.61,2
2021-10-06,81,081021,Trapani,Trapani,53.64,35
2021-10-06,81,081022,Trapani,Valderice,34.62,4
2021-10-06,81,081023,Trapani,Vita,0.00,0
2021-10-06,81,081024,Trapani,Petrosino,87.10,7
2021-10-06,82,082001,Palermo,Alia,0.00,0
2021-10-06,82,082002,Palermo,Alimena,0.00,0
2021-10-06,82,082003,Palermo,Aliminusa,0.00,0
2021-10-06,82,082004,Palermo,Altavilla Milicia,35.49,3
2021-10-06,82,082005,Palermo,Altofonte,30.50,3
2021-10-06,82,082006,Palermo,Bagheria,50.80,27
2021-10-06,82,082007,Palermo,Balestrate,0.00,0
2021-10-06,82,082008,Palermo,Baucina,0.00,0
2021-10-06,82,082009,Palermo,Belmonte Mezzagno,0.00,0
2021-10-06,82,082010,Palermo,Bisacquino,94.63,4
2021-10-06,82,082011,Palermo,Bolognetta,0.00,0
2021-10-06,82,082012,Palermo,Bompietro,0.00,0
2021-10-06,82,082013,Palermo,Borgetto,14.09,1
2021-10-06,82,082014,Palermo,Caccamo,0.00,0
2021-10-06,82,082015,Palermo,Caltavuturo,0.00,0
2021-10-06,82,082016,Palermo,Campofelice di Fitalia,0.00,0
2021-10-06,82,082017,Palermo,Campofelice di Roccella,13.24,1
2021-10-06,82,082018,Palermo,Campofiorito,0.00,0
2021-10-06,82,082019,Palermo,Camporeale,0.00,0
2021-10-06,82,082020,Palermo,Capaci,95.07,11
2021-10-06,82,082021,Palermo,Carini,12.89,5
2021-10-06,82,082022,Palermo,Castelbuono,0.00,0
2021-10-06,82,082023,Palermo,Casteldaccia,0.00,0
2021-10-06,82,082024,Palermo,Castellana Sicula,0.00,0
2021-10-06,82,082025,Palermo,Castronovo di Sicilia,0.00,0
2021-10-06,82,082026,Palermo,Cefalà Diana,0.00,0
2021-10-06,82,082027,Palermo,Cefalù,7.15,1
2021-10-06,82,082028,Palermo,Cerda,0.00,0
2021-10-06,82,082029,Palermo,Chiusa Sclafani,0.00,0
2021-10-06,82,082030,Palermo,Ciminna,0.00,0
2021-10-06,82,082031,Palermo,Cinisi,42.04,5
2021-10-06,82,082032,Palermo,Collesano,26.17,1
2021-10-06,82,082033,Palermo,Contessa Entellina,0.00,0
2021-10-06,82,082034,Palermo,Corleone,0.00,0
2021-10-06,82,082035,Palermo,Ficarazzi,0.00,0
2021-10-06,82,082036,Palermo,Gangi,31.46,2
2021-10-06,82,082037,Palermo,Geraci Siculo,0.00,0
2021-10-06,82,082038,Palermo,Giardinello,0.00,0
2021-10-06,82,082039,Palermo,Giuliana,0.00,0
2021-10-06,82,082040,Palermo,Godrano,0.00,0
2021-10-06,82,082041,Palermo,Gratteri,0.00,0
2021-10-06,82,082042,Palermo,Isnello,0.00,0
2021-10-06,82,082043,Palermo,Isola delle Femmine,14.13,1
2021-10-06,82,082044,Palermo,Lascari,0.00,0
2021-10-06,82,082045,Palermo,Lercara Friddi,140.47,9
2021-10-06,82,082046,Palermo,Marineo,0.00,0
2021-10-06,82,082047,Palermo,Mezzojuso,0.00,0
2021-10-06,82,082048,Palermo,Misilmeri,45.48,13
2021-10-06,82,082049,Palermo,Monreale,16.05,6
2021-10-06,82,082050,Palermo,Montelepre,17.01,1
2021-10-06,82,082051,Palermo,Montemaggiore Belsito,0.00,0
2021-10-06,82,082052,Palermo,Palazzo Adriano,0.00,0
2021-10-06,82,082053,Palermo,Palermo,24.04,154
2021-10-06,82,082054,Palermo,Partinico,26.03,8
2021-10-06,82,082055,Palermo,Petralia Soprana,65.02,2
2021-10-06,82,082056,Palermo,Petralia Sottana,0.00,0
2021-10-06,82,082057,Palermo,Piana degli Albanesi,0.00,0
2021-10-06,82,082058,Palermo,Polizzi Generosa,0.00,0
2021-10-06,82,082059,Palermo,Pollina,0.00,0
2021-10-06,82,082060,Palermo,Prizzi,0.00,0
2021-10-06,82,082061,Palermo,Roccamena,0.00,0
2021-10-06,82,082062,Palermo,Roccapalumba,89.61,2
2021-10-06,82,082063,Palermo,San Cipirello,0.00,0
2021-10-06,82,082064,Palermo,San Giuseppe Jato,109.13,9
2021-10-06,82,082065,Palermo,San Mauro Castelverde,0.00,0
2021-10-06,82,082066,Palermo,Santa Cristina Gela,0.00,0
2021-10-06,82,082067,Palermo,Santa Flavia,9.13,1
2021-10-06,82,082068,Palermo,Sciara,0.00,0
2021-10-06,82,082069,Palermo,Sclafani Bagni,0.00,0
2021-10-06,82,082070,Palermo,Termini Imerese,47.28,12
2021-10-06,82,082071,Palermo,Terrasini,23.95,3
2021-10-06,82,082072,Palermo,Torretta,0.00,0
2021-10-06,82,082073,Palermo,Trabia,48.79,5
2021-10-06,82,082074,Palermo,Trappeto,66.33,2
2021-10-06,82,082075,Palermo,Ustica,0.00,0
2021-10-06,82,082076,Palermo,Valledolmo,0.00,0
2021-10-06,82,082077,Palermo,Ventimiglia di Sicilia,0.00,0
2021-10-06,82,082078,Palermo,Vicari,0.00,0
2021-10-06,82,082079,Palermo,Villabate,40.73,8
2021-10-06,82,082080,Palermo,Villafrati,0.00,0
2021-10-06,82,082081,Palermo,Scillato,0.00,0
2021-10-06,82,082082,Palermo,Blufi,0.00,0
2021-10-06,83,083001,Messina,Alcara li Fusi,223.21,4
2021-10-06,83,083002,Messina,Alì,0.00,0
2021-10-06,83,083003,Messina,Alì Terme,209.56,5
2021-10-06,83,083004,Messina,Antillo,0.00,0
2021-10-06,83,083006,Messina,Basicò,0.00,0
2021-10-06,83,083007,Messina,Brolo,0.00,0
2021-10-06,83,083008,Messina,Capizzi,0.00,0
2021-10-06,83,083009,Messina,Capo d'Orlando,76.01,10
2021-10-06,83,083010,Messina,Capri Leone,22.97,1
2021-10-06,83,083011,Messina,Caronia,0.00,0
2021-10-06,83,083012,Messina,Casalvecchio Siculo,0.00,0
2021-10-06,83,083013,Messina,Castel di Lucio,0.00,0
2021-10-06,83,083014,Messina,Castell'Umberto,102.63,3
2021-10-06,83,083015,Messina,Castelmola,0.00,0
2021-10-06,83,083016,Messina,Castroreale,0.00,0
2021-10-06,83,083017,Messina,Cesarò,0.00,0
2021-10-06,83,083018,Messina,Condrò,0.00,0
2021-10-06,83,083019,Messina,Falcone,0.00,0
2021-10-06,83,083020,Messina,Ficarra,0.00,0
2021-10-06,83,083021,Messina,Fiumedinisi,0.00,0
2021-10-06,83,083022,Messina,Floresta,680.27,3
2021-10-06,83,083023,Messina,Fondachelli-Fantina,0.00,0
2021-10-06,83,083024,Messina,Forza d'Agrò,0.00,0
2021-10-06,83,083025,Messina,Francavilla di Sicilia,27.63,1
2021-10-06,83,083026,Messina,Frazzanò,0.00,0
2021-10-06,83,083027,Messina,Furci Siculo,313.97,10
2021-10-06,83,083028,Messina,Furnari,0.00,0
2021-10-06,83,083029,Messina,Gaggi,160.46,5
2021-10-06,83,083030,Messina,Galati Mamertino,0.00,0
2021-10-06,83,083031,Messina,Gallodoro,0.00,0
2021-10-06,83,083032,Messina,Giardini-Naxos,32.80,3
2021-10-06,83,083033,Messina,Gioiosa Marea,14.61,1
2021-10-06,83,083034,Messina,Graniti,138.31,2
2021-10-06,83,083035,Messina,Gualtieri Sicaminò,0.00,0
2021-10-06,83,083036,Messina,Itala,265.25,4
2021-10-06,83,083037,Messina,Leni,0.00,0
2021-10-06,83,083038,Messina,Letojanni,0.00,0
2021-10-06,83,083039,Messina,Librizzi,0.00,0
2021-10-06,83,083040,Messina,Limina,0.00,0
2021-10-06,83,083041,Messina,Lipari,0.00,0
2021-10-06,83,083042,Messina,Longi,0.00,0
2021-10-06,83,083043,Messina,Malfa,0.00,0
2021-10-06,83,083044,Messina,Malvagna,0.00,0
2021-10-06,83,083045,Messina,Mandanici,0.00,0
2021-10-06,83,083046,Messina,Mazzarrà Sant'Andrea,0.00,0
2021-10-06,83,083047,Messina,Merì,170.50,4
2021-10-06,83,083048,Messina,Messina,52.32,118
2021-10-06,83,083049,Messina,Milazzo,16.73,5
2021-10-06,83,083050,Messina,Militello Rosmarino,0.00,0
2021-10-06,83,083051,Messina,Mirto,0.00,0
2021-10-06,83,083052,Messina,Mistretta,0.00,0
2021-10-06,83,083053,Messina,Moio Alcantara,0.00,0
2021-10-06,83,083054,Messina,Monforte San Giorgio,0.00,0
2021-10-06,83,083055,Messina,Mongiuffi Melia,0.00,0
2021-10-06,83,083056,Messina,Montagnareale,0.00,0
2021-10-06,83,083057,Messina,Montalbano Elicona,0.00,0
2021-10-06,83,083058,Messina,Motta Camastra,0.00,0
2021-10-06,83,083059,Messina,Motta d'Affermo,0.00,0
2021-10-06,83,083060,Messina,Naso,0.00,0
2021-10-06,83,083061,Messina,Nizza di Sicilia,28.26,1
2021-10-06,83,083062,Messina,Novara di Sicilia,0.00,0
2021-10-06,83,083063,Messina,Oliveri,0.00,0
2021-10-06,83,083064,Messina,Pace del Mela,48.76,3
2021-10-06,83,083065,Messina,Pagliara,0.00,0
2021-10-06,83,083066,Messina,Patti,15.57,2
2021-10-06,83,083067,Messina,Pettineo,0.00,0
2021-10-06,83,083068,Messina,Piraino,0.00,0
2021-10-06,83,083069,Messina,Raccuja,0.00,0
2021-10-06,83,083070,Messina,Reitano,0.00,0
2021-10-06,83,083071,Messina,Roccafiorita,0.00,0
2021-10-06,83,083072,Messina,Roccalumera,50.86,2
2021-10-06,83,083073,Messina,Roccavaldina,0.00,0
2021-10-06,83,083074,Messina,Roccella Valdemone,0.00,0
2021-10-06,83,083075,Messina,Rodì Milici,0.00,0
2021-10-06,83,083076,Messina,Rometta,62.22,4
2021-10-06,83,083077,Messina,San Filippo del Mela,0.00,0
2021-10-06,83,083078,Messina,San Fratello,0.00,0
2021-10-06,83,083079,Messina,San Marco d'Alunzio,110.01,2
2021-10-06,83,083080,Messina,San Pier Niceto,0.00,0
2021-10-06,83,083081,Messina,San Piero Patti,0.00,0
2021-10-06,83,083082,Messina,San Salvatore di Fitalia,0.00,0
2021-10-06,83,083083,Messina,Santa Domenica Vittoria,0.00,0
2021-10-06,83,083084,Messina,Sant'Agata di Militello,8.20,1
2021-10-06,83,083085,Messina,Sant'Alessio Siculo,67.25,1
2021-10-06,83,083086,Messina,Santa Lucia del Mela,0.00,0
2021-10-06,83,083087,Messina,Santa Marina Salina,237.25,2
2021-10-06,83,083088,Messina,Sant'Angelo di Brolo,0.00,0
2021-10-06,83,083089,Messina,Santa Teresa di Riva,116.85,11
2021-10-06,83,083090,Messina,San Teodoro,0.00,0
2021-10-06,83,083092,Messina,Saponara,0.00,0
2021-10-06,83,083093,Messina,Savoca,59.07,1
2021-10-06,83,083094,Messina,Scaletta Zanclea,0.00,0
2021-10-06,83,083095,Messina,Sinagra,0.00,0
2021-10-06,83,083096,Messina,Spadafora,20.86,1
2021-10-06,83,083097,Messina,Taormina,38.04,4
2021-10-06,83,083098,Messina,Torregrotta,13.86,1
2021-10-06,83,083099,Messina,Tortorici,302.42,18
2021-10-06,83,083100,Messina,Tripi,0.00,0
2021-10-06,83,083101,Messina,Tusa,0.00,0
2021-10-06,83,083102,Messina,Ucria,0.00,0
2021-10-06,83,083103,Messina,Valdina,0.00,0
2021-10-06,83,083104,Messina,Venetico,0.00,0
2021-10-06,83,083105,Messina,Villafranca Tirrena,97.13,8
2021-10-06,83,083106,Messina,Terme Vigliatore,0.00,0
2021-10-06,83,083107,Messina,Acquedolci,0.00,0
2021-10-06,83,083108,Messina,Torrenova,88.99,4
2021-10-06,84,084001,Agrigento,Agrigento,8.92,5
2021-10-06,84,084002,Agrigento,Alessandria della Rocca,0.00,0
2021-10-06,84,084003,Agrigento,Aragona,11.10,1
2021-10-06,84,084004,Agrigento,Bivona,119.44,4
