data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-10-13,84,084001,Agrigento,Agrigento,86.46,82.98
2021-10-13,84,084002,Agrigento,Alessandria della Rocca,84.07,82.06
2021-10-13,84,084003,Agrigento,Aragona,88.00,84.98
2021-10-13,84,084004,Agrigento,Bivona,84.94,82.38
2021-10-13,84,084005,Agrigento,Burgio,89.34,87.86
2021-10-13,84,084006,Agrigento,Calamonaci,79.70,77.83
2021-10-13,84,084007,Agrigento,Caltabellotta,84.28,81.63
2021-10-13,84,084008,Agrigento,Camastra,78.68,74.14
2021-10-13,84,084009,Agrigento,Cammarata,87.54,84.43
2021-10-13,84,084010,Agrigento,Campobello di Licata,83.64,80.62
2021-10-13,84,084011,Agrigento,Canicattì,79.30,75.69
2021-10-13,84,084012,Agrigento,Casteltermini,85.26,82.48
2021-10-13,84,084013,Agrigento,Castrofilippo,77.99,75.06
2021-10-13,84,084014,Agrigento,Cattolica Eraclea,78.20,74.83
2021-10-13,84,084015,Agrigento,Cianciana,86.82,84.41
2021-10-13,84,084016,Agrigento,Comitini,93.63,91.25
2021-10-13,84,084017,Agrigento,Favara,85.32,82.17
2021-10-13,84,084018,Agrigento,Grotte,85.81,82.96
2021-10-13,84,084019,Agrigento,Joppolo Giancaxio,82.43,79.69
2021-10-13,84,084020,Agrigento,Lampedusa e Linosa,78.93,72.00
2021-10-13,84,084021,Agrigento,Licata,73.16,68.00
2021-10-13,84,084022,Agrigento,Lucca Sicula,90.52,88.56
2021-10-13,84,084023,Agrigento,Menfi,82.95,79.19
2021-10-13,84,084024,Agrigento,Montallegro,82.33,79.88
2021-10-13,84,084025,Agrigento,Montevago,86.71,84.34
2021-10-13,84,084026,Agrigento,Naro,78.82,74.79
2021-10-13,84,084027,Agrigento,Palma di Montechiaro,71.74,64.25
2021-10-13,84,084028,Agrigento,Porto Empedocle,81.53,77.93
2021-10-13,84,084029,Agrigento,Racalmuto,83.17,79.90
2021-10-13,84,084030,Agrigento,Raffadali,86.56,83.57
2021-10-13,84,084031,Agrigento,Ravanusa,70.22,66.39
2021-10-13,84,084032,Agrigento,Realmonte,85.10,81.75
2021-10-13,84,084033,Agrigento,Ribera,81.58,78.79
2021-10-13,84,084034,Agrigento,Sambuca di Sicilia,89.31,85.90
2021-10-13,84,084035,Agrigento,San Biagio Platani,84.48,80.39
2021-10-13,84,084036,Agrigento,San Giovanni Gemini,85.05,82.60
