data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2021-10-20,84,084001,Agrigento,Agrigento,87.09,83.83
2021-10-20,84,084002,Agrigento,Alessandria della Rocca,84.44,82.30
2021-10-20,84,084003,Agrigento,Aragona,88.51,85.68
2021-10-20,84,084004,Agrigento,Bivona,85.30,83.02
2021-10-20,84,084005,Agrigento,Burgio,89.43,87.86
2021-10-20,84,084006,Agrigento,Calamonaci,80.14,78.09
2021-10-20,84,084007,Agrigento,Caltabellotta,84.44,81.82
2021-10-20,84,084008,Agrigento,Camastra,79.29,75.69
2021-10-20,84,084009,Agrigento,Cammarata,87.84,85.08
2021-10-20,84,084010,Agrigento,Campobello di Licata,84.19,81.56
2021-10-20,84,084011,Agrigento,Canicattì,80.30,76.70
2021-10-20,84,084012,Agrigento,Casteltermini,85.46,82.87
2021-10-20,84,084013,Agrigento,Castrofilippo,78.91,75.90
2021-10-20,84,084014,Agrigento,Cattolica Eraclea,80.06,76.15
2021-10-20,84,084015,Agrigento,Cianciana,87.05,84.85
2021-10-20,84,084016,Agrigento,Comitini,94.13,91.50
2021-10-20,84,084017,Agrigento,Favara,85.70,82.74
2021-10-20,84,084018,Agrigento,Grotte,86.21,83.81
2021-10-20,84,084019,Agrigento,Joppolo Giancaxio,82.92,80.57
2021-10-20,84,084020,Agrigento,Lampedusa e Linosa,79.90,73.57
2021-10-20,84,084021,Agrigento,Licata,74.55,69.29
2021-10-20,84,084022,Agrigento,Lucca Sicula,90.85,88.76
2021-10-20,84,084023,Agrigento,Menfi,83.81,80.18
2021-10-20,84,084024,Agrigento,Montallegro,82.83,80.85
2021-10-20,84,084025,Agrigento,Montevago,87.38,84.81
2021-10-20,84,084026,Agrigento,Naro,79.72,75.91
2021-10-20,84,084027,Agrigento,Palma di Montechiaro,73.26,65.72
2021-10-20,84,084028,Agrigento,Porto Empedocle,82.16,78.76
2021-10-20,84,084029,Agrigento,Racalmuto,83.48,80.80
2021-10-20,84,084030,Agrigento,Raffadali,86.84,84.00
2021-10-20,84,084031,Agrigento,Ravanusa,71.20,67.71
2021-10-20,84,084032,Agrigento,Realmonte,85.48,82.23
2021-10-20,84,084033,Agrigento,Ribera,82.37,79.65
2021-10-20,84,084034,Agrigento,Sambuca di Sicilia,89.57,86.69
2021-10-20,84,084035,Agrigento,San Biagio Platani,84.77,81.01
2021-10-20,84,084036,Agrigento,San Giovanni Gemini,85.39,83.09
2021-10-20,84,084039,Agrigento,Sant'Angelo Muxaro,82.97,78.39
2021-10-20,84,084037,Agrigento,Santa Elisabetta,86.86,84.24
2021-10-20,84,084038,Agrigento,Santa Margherita di Belice,84.96,81.85
2021-10-20,84,084040,Agrigento,Santo Stefano Quisquina,87.54,84.52
2021-10-20,84,084041,Agrigento,Sciacca,90.89,88.50
2021-10-20,84,084042,Agrigento,Siculiana,82.46,79.41
