data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2022-05-18,84,084001,Agrigento,Agrigento,92.75,90.89
2022-05-18,84,084002,Agrigento,Alessandria della Rocca,89.84,87.96
2022-05-18,84,084003,Agrigento,Aragona,92.34,91.95
2022-05-18,84,084004,Agrigento,Bivona,90.87,90.09
2022-05-18,84,084005,Agrigento,Burgio,93.68,93.48
2022-05-18,84,084006,Agrigento,Calamonaci,84.38,83.69
2022-05-18,84,084007,Agrigento,Caltabellotta,88.70,88.35
2022-05-18,84,084008,Agrigento,Camastra,86.03,84.41
2022-05-18,84,084009,Agrigento,Cammarata,90.75,89.67
2022-05-18,84,084010,Agrigento,Campobello di Licata,88.31,85.97
2022-05-18,84,084011,Agrigento,Canicattì,87.11,86.12
2022-05-18,84,084012,Agrigento,Casteltermini,89.45,88.98
2022-05-18,84,084013,Agrigento,Castrofilippo,82.15,82.83
2022-05-18,84,084014,Agrigento,Cattolica Eraclea,86.04,84.90
2022-05-18,84,084015,Agrigento,Cianciana,92.91,91.86
2022-05-18,84,084016,Agrigento,Comitini,94.01,91.54
2022-05-18,84,084017,Agrigento,Favara,90.20,88.64
2022-05-18,84,084018,Agrigento,Grotte,92.28,92.20
2022-05-18,84,084019,Agrigento,Joppolo Giancaxio,87.61,85.71
2022-05-18,84,084020,Agrigento,Lampedusa e Linosa,87.21,86.60
2022-05-18,84,084021,Agrigento,Licata,86.04,84.74
2022-05-18,84,084022,Agrigento,Lucca Sicula,94.38,92.67
2022-05-18,84,084023,Agrigento,Menfi,90.52,90.05
2022-05-18,84,084024,Agrigento,Montallegro,89.67,90.33
2022-05-18,84,084025,Agrigento,Montevago,92.21,91.42
2022-05-18,84,084026,Agrigento,Naro,86.40,84.95
2022-05-18,84,084027,Agrigento,Palma di Montechiaro,78.62,75.93
2022-05-18,84,084028,Agrigento,Porto Empedocle,87.42,86.16
2022-05-18,84,084029,Agrigento,Racalmuto,87.61,86.98
2022-05-18,84,084030,Agrigento,Raffadali,90.06,88.17
2022-05-18,84,084031,Agrigento,Ravanusa,77.86,76.67
2022-05-18,84,084032,Agrigento,Realmonte,89.20,87.00
2022-05-18,84,084033,Agrigento,Ribera,86.56,84.96
2022-05-18,84,084034,Agrigento,Sambuca di Sicilia,93.44,92.07
2022-05-18,84,084035,Agrigento,San Biagio Platani,88.76,86.59
2022-05-18,84,084036,Agrigento,San Giovanni Gemini,89.22,87.89
2022-05-18,84,084037,Agrigento,Santa Elisabetta,91.80,90.04
2022-05-18,84,084038,Agrigento,Santa Margherita di Belice,90.89,89.55
2022-05-18,84,084039,Agrigento,Sant'Angelo Muxaro,85.73,84.43
2022-05-18,84,084040,Agrigento,Santo Stefano Quisquina,92.18,91.19
2022-05-18,84,084041,Agrigento,Sciacca,93.55,95.33
2022-05-18,84,084042,Agrigento,Siculiana,86.97,85.55
2022-05-18,84,084043,Agrigento,Villafranca Sicula,90.01,89.16
2022-05-18,85,085001,Caltanissetta,Acquaviva Platani,94.33,94.10
2022-05-18,85,085002,Caltanissetta,Bompensiere,89.72,87.35
2022-05-18,85,085003,Caltanissetta,Butera,78.66,76.32
2022-05-18,85,085004,Caltanissetta,Caltanissetta,87.43,85.96
2022-05-18,85,085005,Caltanissetta,Campofranco,85.02,88.11
2022-05-18,85,085006,Caltanissetta,Delia,83.13,82.48
2022-05-18,85,085007,Caltanissetta,Gela,79.38,75.96
2022-05-18,85,085008,Caltanissetta,Marianopoli,81.89,78.58
2022-05-18,85,085009,Caltanissetta,Mazzarino,84.16,80.53
2022-05-18,85,085010,Caltanissetta,Milena,93.05,91.72
2022-05-18,85,085011,Caltanissetta,Montedoro,90.49,88.66
2022-05-18,85,085012,Caltanissetta,Mussomeli,90.51,90.58
