data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-10-06,84,084001,Agrigento,Agrigento,85.71,81.71
2021-10-06,84,084002,Agrigento,Alessandria della Rocca,83.79,81.52
2021-10-06,84,084003,Agrigento,Aragona,87.51,84.15
2021-10-06,84,084004,Agrigento,Bivona,84.33,81.19
2021-10-06,84,084005,Agrigento,Burgio,89.05,87.74
2021-10-06,84,084006,Agrigento,Calamonaci,79.34,77.38
2021-10-06,84,084007,Agrigento,Caltabellotta,83.79,80.53
2021-10-06,84,084008,Agrigento,Camastra,77.80,73.64
2021-10-06,84,084009,Agrigento,Cammarata,87.19,83.50
2021-10-06,84,084010,Agrigento,Campobello di Licata,83.22,79.74
2021-10-06,84,084011,Agrigento,Canicattì,78.40,74.38
2021-10-06,84,084012,Agrigento,Casteltermini,84.81,81.39
2021-10-06,84,084013,Agrigento,Castrofilippo,76.99,72.93
2021-10-06,84,084014,Agrigento,Cattolica Eraclea,76.53,72.46
2021-10-06,84,084015,Agrigento,Cianciana,86.35,83.34
2021-10-06,84,084016,Agrigento,Comitini,93.38,90.13
2021-10-06,84,084017,Agrigento,Favara,84.83,81.12
2021-10-06,84,084018,Agrigento,Grotte,85.26,81.95
2021-10-06,84,084019,Agrigento,Joppolo Giancaxio,82.04,78.70
2021-10-06,84,084020,Agrigento,Lampedusa e Linosa,77.80,70.12
2021-10-06,84,084021,Agrigento,Licata,71.87,66.22
2021-10-06,84,084022,Agrigento,Lucca Sicula,90.39,88.17
2021-10-06,84,084023,Agrigento,Menfi,82.29,77.53
2021-10-06,84,084024,Agrigento,Montallegro,81.91,79.10
2021-10-06,84,084025,Agrigento,Montevago,86.43,83.11
2021-10-06,84,084026,Agrigento,Naro,77.95,73.74
2021-10-06,84,084027,Agrigento,Palma di Montechiaro,68.87,62.84
2021-10-06,84,084028,Agrigento,Porto Empedocle,80.84,76.65
2021-10-06,84,084029,Agrigento,Racalmuto,82.50,77.47
2021-10-06,84,084030,Agrigento,Raffadali,85.59,80.83
2021-10-06,84,084031,Agrigento,Ravanusa,69.39,64.48
2021-10-06,84,084032,Agrigento,Realmonte,84.31,80.22
2021-10-06,84,084033,Agrigento,Ribera,80.89,77.42
2021-10-06,84,084034,Agrigento,Sambuca di Sicilia,88.97,85.54
2021-10-06,84,084035,Agrigento,San Biagio Platani,83.60,78.78
2021-10-06,84,084036,Agrigento,San Giovanni Gemini,84.75,81.92
2021-10-06,84,084039,Agrigento,Sant'Angelo Muxaro,78.75,76.10
2021-10-06,84,084037,Agrigento,Santa Elisabetta,86.30,82.83
2021-10-06,84,084038,Agrigento,Santa Margherita di Belice,83.86,79.37
2021-10-06,84,084040,Agrigento,Santo Stefano Quisquina,86.40,82.94
